"country","HappiestCountriesWorldHappiessReportRankings2023","HappiestCountriesWorldHappiessReportScore2023","HappiestCountriesWorldHappiessReportRankings2022","HappiestCountriesWorldHappiessReportScore2022","HappiestCountriesWorldHappiessReportRankingsChange202322","HappiestCountriesWorldHappiessReportScoreChange202322"
"India",126,4.036,136,3.777,-10,0.259
"China",64,5.818,72,5.585,-8,0.233
"United States",15,6.894,16,6.977,-1,-0.083
"Indonesia",84,5.277,87,5.24,-3,0.037
"Pakistan",108,4.555,121,4.516,-13,0.039
"Nigeria",95,4.981,118,4.552,-23,0.429
"Brazil",49,6.125,38,6.293,11,-0.168
"Bangladesh",118,4.282,94,5.155,24,-0.873
"Russia",70,5.661,80,5.459,-10,0.202
"Ethiopia",124,4.091,131,4.241,-7,-0.15
"Mexico",36,6.33,46,6.128,-10,0.202
"Japan",47,6.129,54,6.039,-7,0.09
"Philippines",76,5.523,60,5.904,16,-0.381
"Egypt",121,4.17,129,4.288,-8,-0.118
"DR Congo",133,3.207,,,,
"Vietnam",65,5.763,77,5.485,-12,0.278
"Iran",101,4.876,110,4.888,-9,-0.012
"Turkey",106,4.614,112,4.744,-6,-0.13
"Germany",16,6.892,14,7.034,2,-0.142
"Thailand",60,5.843,61,5.891,-1,-0.048
"Tanzania",129,3.694,139,3.702,-10,-0.008
"United Kingdom",19,6.796,17,6.943,2,-0.147
"France",21,6.661,20,6.687,1,-0.026
"South Africa",85,5.275,91,5.194,-6,0.081
"Italy",33,6.405,31,6.467,2,-0.062
"Kenya",111,4.487,119,4.543,-8,-0.056
"Myanmar",117,4.372,126,4.394,-9,-0.022
"Colombia",72,5.63,66,5.781,6,-0.151
"South Korea",57,5.951,59,5.935,-2,0.016
"Uganda",113,4.432,117,4.603,-4,-0.171
"Spain",32,6.436,29,6.476,3,-0.04
"Iraq",98,4.941,107,4.941,-9,0
"Algeria",81,5.329,96,5.122,-15,0.207
"Argentina",52,6.024,57,5.967,-5,0.057
"Afghanistan",137,1.859,146,2.404,-9,-0.545
"Poland",39,6.26,48,6.123,-9,0.137
"Canada",13,6.961,15,7.025,-2,-0.064
"Morocco",100,4.903,100,5.06,0,-0.157
"Ukraine",92,5.071,98,5.084,-6,-0.013
"Saudi Arabia",30,6.463,25,6.523,5,-0.06
"Uzbekistan",54,6.014,53,6.063,1,-0.049
"Yemen",,,132,4.197,,
"Mozambique",97,4.954,101,5.048,-4,-0.094
"Ghana",107,4.605,111,4.872,-4,-0.267
"Peru",75,5.526,74,5.559,1,-0.033
"Malaysia",55,6.012,70,5.711,-15,0.301
"Nepal",78,5.36,84,5.377,-6,-0.017
"Madagascar",127,4.019,128,4.339,-1,-0.32
"Ivory Coast",93,5.053,88,5.235,5,-0.182
"Venezuela",88,5.211,108,4.925,-20,0.286
"Cameroon",96,4.973,102,5.048,-6,-0.075
"Niger",109,4.501,104,5.003,5,-0.502
"Australia",12,7.095,12,7.162,0,-0.067
"Mali",120,4.198,123,4.479,-3,-0.281
"Taiwan",27,6.535,26,6.512,1,0.023
"Burkina Faso",104,4.638,113,4.67,-9,-0.032
"Sri Lanka",112,4.442,127,4.362,-15,0.08
"Malawi",131,3.495,138,3.75,-7,-0.255
"Zambia",128,3.982,137,3.76,-9,0.222
"Kazakhstan",44,6.144,40,6.234,4,-0.09
"Chile",35,6.334,44,6.172,-9,0.162
"Romania",24,6.589,28,6.477,-4,0.112
"Chad",114,4.397,130,4.251,-16,0.146
"Ecuador",74,5.559,76,5.553,-2,0.006
"Guatemala",43,6.15,39,6.262,4,-0.112
"Senegal",102,4.855,103,5.046,-1,-0.191
"Netherlands",5,7.403,5,7.415,0,-0.012
"Cambodia",115,4.393,114,4.64,1,-0.247
"Zimbabwe",134,3.204,144,2.995,-10,0.209
"Guinea",91,5.072,109,4.891,-18,0.181
"Rwanda",,,143,3.268,,
"Benin",116,4.374,115,4.623,1,-0.249
"Bolivia",69,5.684,71,5.6,-2,0.084
"Tunisia",110,4.497,120,4.516,-10,-0.019
"Belgium",17,6.859,19,6.805,-2,0.054
"Dominican Republic",73,5.569,69,5.737,4,-0.168
"Jordan",123,4.12,134,4.152,-11,-0.032
"Honduras",53,6.023,55,6.022,-2,0.001
"Sweden",6,7.395,7,7.384,-1,0.011
"Czech Republic",18,6.845,18,6.92,0,-0.075
"Azerbaijan",,,92,5.173,,
"Tajikistan",80,5.33,83,5.377,-3,-0.047
"Greece",58,5.931,58,5.948,0,-0.017
"Portugal",56,5.968,56,6.016,0,-0.048
"Hungary",51,6.041,51,6.086,0,-0.045
"United Arab Emirates",26,6.571,24,6.576,2,-0.005
"Belarus",,,65,5.821,,
"Israel",4,7.473,9,7.364,-5,0.109
"Togo",122,4.137,135,4.112,-13,0.025
"Sierra Leone",135,3.138,140,3.574,-5,-0.436
"Austria",11,7.097,11,7.163,0,-0.066
"Switzerland",8,7.24,4,7.512,4,-0.272
"Laos",89,5.111,95,5.14,-6,-0.029
"Hong Kong",82,5.308,81,5.425,1,-0.117
"Nicaragua",40,6.259,45,6.165,-5,0.094
"Serbia",45,6.144,43,6.178,2,-0.034
"Libya",,,86,5.33,,
"Paraguay",66,5.738,73,5.578,-7,0.16
"Kyrgyzstan",62,5.825,64,5.828,-2,-0.003
"Bulgaria",77,5.466,85,5.371,-8,0.095
"Turkmenistan",,,78,5.474,,
"El Salvador",50,6.122,49,6.12,1,0.002
"Republic of the Congo",86,5.267,99,5.075,-13,0.192
"Singapore",25,6.587,27,6.48,-2,0.107
"Denmark",2,7.586,2,7.636,0,-0.05
"Slovakia",29,6.469,35,6.391,-6,0.078
"Finland",1,7.804,1,7.821,0,-0.017
"Liberia",125,4.042,97,5.122,28,-1.08
"Norway",7,7.315,8,7.365,-1,-0.05
"Palestine",99,4.908,122,4.483,-23,0.425
"New Zealand",10,7.123,10,7.2,0,-0.077
"Costa Rica",23,6.609,23,6.582,0,0.027
"Lebanon",136,2.392,145,2.955,-9,-0.563
"Ireland",14,6.911,13,7.041,1,-0.13
"Mauritania",103,4.724,133,4.153,-30,0.571
"Panama",38,6.265,37,6.309,1,-0.044
"Kuwait",,,50,6.106,,
"Croatia",48,6.125,47,6.125,1,0
"Georgia",90,5.109,105,4.973,-15,0.136
"Mongolia",61,5.84,68,5.761,-7,0.079
"Uruguay",28,6.494,30,6.474,-2,0.02
"Moldova",63,5.819,62,5.857,1,-0.038
"Bosnia and Herzegovina",71,5.633,67,5.768,4,-0.135
"Gambia",119,4.279,93,5.164,26,-0.885
"Albania",83,5.277,90,5.199,-7,0.078
"Jamaica",68,5.703,63,5.85,5,-0.147
"Armenia",79,5.342,82,5.399,-3,-0.057
"Botswana",132,3.435,142,3.471,-10,-0.036
"Lithuania",20,6.763,34,6.446,-14,0.317
"Namibia",105,4.631,124,4.459,-19,0.172
"Gabon",94,5.035,106,4.958,-12,0.077
"Lesotho",,,141,3.512,,
"Slovenia",22,6.65,22,6.63,0,0.02
"North Macedonia",87,5.254,89,5.199,-2,0.055
"Latvia",41,6.213,42,6.18,-1,0.033
"Bahrain",42,6.173,21,6.647,21,-0.474
"Estonia",31,6.455,36,6.341,-5,0.114
"Mauritius",59,5.902,52,6.071,7,-0.169
"Cyprus",46,6.13,41,6.221,5,-0.091
"Eswatini",,,125,4.396,,
"Comoros",130,3.545,116,4.609,14,-1.064
"Luxembourg",9,7.228,6,7.404,3,-0.176
"Montenegro",67,5.722,75,5.547,-8,0.175
"Malta",37,6.3,33,6.447,4,-0.147
"Iceland",3,7.53,3,7.557,0,-0.027
